iso3,lat,lon,nobs,corr_d00_all,diff_d00_all,corr_d01_all,corr_analysis_d01_all,diff_d01_all,corr_d02_all,corr_analysis_d02_all,diff_d02_all,corr_d03_all,corr_analysis_d03_all,diff_d03_all,corr_d04_all,corr_analysis_d04_all,diff_d04_all,corr_d05_all,corr_analysis_d05_all,diff_d05_all,corr_d06_all,corr_analysis_d06_all,diff_d06_all,corr_d07_all,corr_analysis_d07_all,diff_d07_all,corr_d08_all,corr_analysis_d08_all,diff_d08_all,year,time_utc,station_id,corr_d00_subset,diff_d00_subset,corr_d01_subset,corr_analysis_d01_subset,diff_d01_subset,corr_d02_subset,corr_analysis_d02_subset,diff_d02_subset,corr_d03_subset,corr_analysis_d03_subset,diff_d03_subset,corr_d04_subset,corr_analysis_d04_subset,diff_d04_subset,corr_d05_subset,corr_analysis_d05_subset,diff_d05_subset,corr_d06_subset,corr_analysis_d06_subset,diff_d06_subset,corr_d07_subset,corr_analysis_d07_subset,diff_d07_subset,corr_d08_subset,corr_analysis_d08_subset,diff_d08_subset,income_group_2020,gdp_pc_2011_2020,log_gdp_pc_2011_2020
ATG,17.35192052631579,-61.80608789473684,350.05555555555554,0.4292351059985885,0.6678419311749515,0.34703043357531427,0.6760087319800688,0.7237167655501087,0.2995968964890705,0.5470115620234586,0.746929544982162,0.26988409250378864,0.4666622706477537,0.7685681847723485,0.2560115739010743,0.41933764293912773,0.7658925922043365,0.2285605005535779,0.38776394046877644,0.7857223287511701,0.19248580964745626,0.33587154130078734,0.8028723184930658,0.17504657662499698,0.3227250960296933,0.8012135091675157,0.1649378340413908,0.2771163631661964,0.8076874302107877,2015.4736842105262,12.0,78862099999.0,0.47310144166587753,0.6660255496884889,0.3846666238799095,0.6703543527465328,0.7205396550485145,0.335234239014515,0.545163141754928,0.7478773074643102,0.297336400691509,0.4567262101398155,0.7693802529932185,0.2975372768510695,0.4274859772632668,0.7596996656891173,0.26304011238701513,0.39295057114194737,0.7880231746200084,0.2294271858158433,0.34054593489107804,0.8024025095088732,0.21597501578443712,0.3183989169913354,0.8005565312266107,0.19420148261210085,0.2744991395782316,0.8064683787517172,High,19745.4291179353,9.89067730647701
AUS,-30.57758617417733,140.21347335635284,87.71152553763442,0.7891406967024301,1.1041246398830782,0.7655517990261085,0.9520204982453078,1.1768447924833891,0.7469702063525087,0.928904131309964,1.2263887910346454,0.7263296506030995,0.9032678397459728,1.2912850264652571,0.6952826529527699,0.8689079910101993,1.372685610729529,0.6511765172529773,0.8216993620498271,1.4790972157236975,0.5770751220182769,0.7608881343631745,1.6231557618618198,0.5307900104131421,0.6861006081501567,1.7514933156260795,0.4452524930784493,0.6025425269124721,1.9131318852661423,2015.3662400975015,12.0,94501849999.0,0.7362125191441836,1.109577885897499,0.6970184880661616,0.9260009494165944,1.1969918777157234,0.6809700318268572,0.8998255755495889,1.2321822941776672,0.66411143657395,0.872823247816906,1.2796097233135177,0.6377176940663198,0.8397106828384675,1.3392674570681469,0.6052661253255421,0.8003692514981655,1.419804407656362,0.5616427082932535,0.74606842029931,1.5199827888770607,0.5099207531131034,0.6874081792802379,1.6144198587467369,0.45054069856897677,0.6178447141177166,1.7454467655053025,High,47700.77630011697,10.772702951379578
AUT,47.52171553418803,13.973399479700856,307.0128205128205,0.7602008479925497,2.0553488102429225,0.726327146589357,0.9714259278161781,2.2668934971965746,0.7082898303096968,0.9576810612313421,2.353333064401645,0.6903588607930685,0.9373920244575852,2.4620804221494907,0.6651948337560222,0.9063204891825135,2.6069946933875583,0.6269455317776524,0.8521199427896908,2.811103605652667,0.5681846917332526,0.7756381763046173,3.0736357696046226,0.4890465724282899,0.6774712126311347,3.376691987676251,0.41506896278200595,0.5774035500839816,3.66137724748445,2015.900284900285,12.0,11078385713.285715,0.7497080880477545,2.0858198749124357,0.7219719196057308,0.96907981184704,2.251588753981345,0.7126399568266485,0.9531665076783643,2.3204471339731154,0.6934949238393541,0.9305380833757552,2.4335523521108637,0.6673635065990515,0.8987256185169962,2.5749188093108173,0.6199743875850752,0.8394464230405022,2.813318180845385,0.5603091040070838,0.7615183940780539,3.0888278594581187,0.47774065715739494,0.6598626242262392,3.418215405169394,0.3984335798564222,0.5578400082795026,3.726236230804971,High,53581.1973757329,10.88895349028699
AZE,40.40837231335617,47.91215552910959,183.54212454212455,0.8656610225227983,1.3171464329406242,0.8499081853690977,0.977498124312144,1.375130656790866,0.8366420318334559,0.9636067604436759,1.42016669073083,0.821020829432794,0.9443689894755087,1.502771790121221,0.7937793313198064,0.9163583012628296,1.612484057402844,0.7473402026798509,0.8689929122570532,1.7448108380074634,0.6938805231421685,0.8021388935953392,1.942872791437464,0.6151376346760326,0.7238086611214233,2.234879003024176,0.5369070944223239,0.6378778339719858,2.437625295483286,2015.0068493150684,12.0,37860099999.0,0.817094978434562,1.5735944334126943,0.8034288281312062,0.9775441485692549,1.628892565182238,0.7955415191752749,0.9644494339079751,1.6553964817278097,0.7825677260064382,0.947218714694156,1.702534663022043,0.7642653393949886,0.9212715058935508,1.774555804782064,0.7269964763896496,0.8778717711183267,1.8958070148373065,0.6785689833149104,0.8196887514929514,2.043074338955949,0.6090884763994723,0.7463190775432508,2.243732354615228,0.5373243116862323,0.6662216483661777,2.463275886449941,Upper middle,14304.5558144568,9.568333353933035
BDI,-3.324019,29.318519,172.77777777777777,0.5901868943332409,1.2227736912734528,0.46824317977382635,0.7841732677227867,1.391978210584927,0.4445415014870762,0.7138703457203363,1.4432424589084636,0.3937741837938019,0.6565534829337379,1.4931846901605224,0.3999682320707776,0.6219349422328332,1.5049036701325065,0.36522177254729393,0.5946966034378729,1.529709861439664,0.3265292011638384,0.5640366152776219,1.5709424209476779,0.27853508877596544,0.5431077054481288,1.6123279477008068,0.2873729675824412,0.504396194926051,1.6134160592380944,2015.5,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,775.6056543840933,6.653644213677267
BEL,50.68630499463087,4.625707838926174,350.3322147651007,0.9369513287617522,0.8549846084029069,0.9101145687083245,0.9693133934225615,1.0820255548105024,0.890944447540675,0.9502136663821336,1.218677349836809,0.8670370852870286,0.924889345120718,1.3638869815416863,0.8336061712685897,0.8897558255046976,1.5470810797546297,0.7837318827385832,0.8369459359011192,1.788228468627033,0.7076321746922665,0.7611978821251665,2.1036272841734722,0.6127434575735835,0.6661667721508719,2.4300340962432077,0.5205534422821205,0.5664160352058275,2.7513812164248184,2015.4731543624162,12.0,6453974999.0,0.9362619358024041,0.8641415239496171,0.9093053377052434,0.9694608718538728,1.0870000738277843,0.8901783540225185,0.9506207331657078,1.2240146349284773,0.8660696916157711,0.9253855724860628,1.3680400640004715,0.8324649866032677,0.8902376289217804,1.54993395700787,0.7829530707270211,0.8374447815577147,1.786839402968613,0.7088094215997128,0.7625356423428651,2.0947526151327303,0.6117622924189641,0.6674976188130648,2.426932875671736,0.5186801738761374,0.5679065683551939,2.7506616010118456,High,49511.71999233481,10.809964688053691
BEN,8.73290919047619,2.3223840634920636,303.93650793650795,0.5942548206790985,1.0929424604694975,0.36889860665316804,0.6680484816875082,1.3180249528099572,0.3372860145784938,0.607022140013123,1.3858415950645504,0.32687900707414796,0.5760272571459719,1.3956394170945359,0.3100665421427928,0.533957998734865,1.4075892179466225,0.2970803752486838,0.50396537170636,1.4188357770475901,0.2826934305924374,0.48997873284401594,1.4565623963366916,0.24626867574221414,0.46677600234375627,1.515437645647461,0.23115087539193283,0.4327064296541133,1.543568269584839,2015.4920634920634,12.0,65328766665.666664,0.5942548206790985,1.0929424604694975,0.36889860665316804,0.6698605411447723,1.3180249528099572,0.3372860145784938,0.6084706297353307,1.3858415950645504,0.32687900707414796,0.5790854954416151,1.3956394170945359,0.3100665421427928,0.5383318408499745,1.4075892179466225,0.2970803752486838,0.5070727094309834,1.4188357770475901,0.2826934305924374,0.49510306381245645,1.4565623963366916,0.24626867574221414,0.4694833883568536,1.515437645647461,0.23115087539193283,0.43576336530369414,1.543568269584839,Lower middle,2901.7351195105903,7.973064154126887
BFA,12.175976697849462,-2.0103999118279567,320.5376344086022,0.7500574037250977,1.0444072203156498,0.5482912057386438,0.8176245509704007,1.334798744841393,0.5101054354787278,0.7565782713500527,1.422573531475767,0.5040984733943433,0.7389748528513252,1.4267345788049364,0.47930727451780014,0.7003758935294874,1.4689424268050564,0.45279887742806313,0.6625933197821323,1.5077768289730868,0.41872026803753515,0.6251986396776252,1.5713975983685597,0.39104700694221306,0.5807318206642954,1.624805336016018,0.36850609537375295,0.5406532037812556,1.6925494044042435,2015.483870967742,12.0,65509433332.333336,0.7500574037250977,1.0676162696559974,0.5482912057386438,0.8155972398750551,1.3644609391712015,0.5101054354787278,0.7541465895673394,1.4541862766196731,0.5040984733943433,0.7357326447831191,1.4584397916672682,0.47930727451780014,0.6979531353621005,1.5015855918451686,0.45279887742806313,0.6599578187635375,1.5412829807280441,0.41872026803753515,0.621907837602765,1.6063175449989722,0.39104700694221306,0.5787788514847357,1.6609121212608184,0.36850609537375295,0.5400729103665012,1.7301616133910045,Low,1917.949409334953,7.559011878314985
BGD,23.56943329009009,90.27441927087088,282.04590163934427,0.674474156751482,1.1982071648508288,0.5724120855077678,0.8494146884966041,1.3722103037237805,0.5311115151504365,0.7946649582788875,1.4391496854341967,0.5040331765941582,0.7586970341972924,1.484454552352119,0.4778511092847929,0.7272547282630245,1.5263655357845685,0.45302078528690076,0.6968304371575513,1.5683720265212562,0.4161703655020618,0.6574908329605353,1.6177019766896266,0.3843346502420452,0.6162466987247565,1.66300577258035,0.3596443960205097,0.581876720640347,1.703800188275502,2015.5885885885887,12.0,41911099999.0,0.6898691619688904,1.2049134386664575,0.5958904036687283,0.8531291447131769,1.3892718888374098,0.556296414859458,0.8009222069413741,1.4595696493685335,0.528626395067296,0.7643277132206288,1.5100567923659074,0.5085253691738477,0.7386052615805585,1.5493064884236172,0.48238213646694295,0.7061491570629346,1.5928355824417118,0.44803961067170334,0.6659109359669362,1.6415481971345594,0.41942621935891267,0.6252071331606269,1.6852838622504187,0.3981481476019828,0.5890816989184341,1.7269172682972163,Lower middle,4532.045975739612,8.41892876678744
BGR,42.87335039525692,25.039508452173912,305.2564102564103,0.7575055879560723,2.0262902122372446,0.7332761665772153,0.9766506860972486,2.1630883805719545,0.7164422456079805,0.9599651279613033,2.256654974553416,0.6981584852034501,0.939749682269291,2.352148341547191,0.6764085508064722,0.9127388248881536,2.472308417559771,0.6403379687010349,0.8685588496927212,2.646945034805567,0.6038524769174666,0.8161687190905417,2.824872438117718,0.5259761147538742,0.7351896160685686,3.0975544649986495,0.4699036783684446,0.6382532531510997,3.3574005010053902,2015.0434782608695,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper middle,20587.46934325729,9.932437885389817
BHR,26.0333333,50.5333333,0.0,,,,0.950824039085542,,,0.9225039488037377,,,0.8865809064582532,,,0.8556214186050105,,,0.8509047057382448,,,0.8006328935139649,,,0.7523762527967064,,,0.7162404071582527,,2011.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,48481.57105963232,10.788939026563673
BHS,25.409210703333333,-77.66719430666667,232.0,0.6076732470390502,1.267541371142342,0.573223952750411,0.8980727630176196,1.299466285523587,0.5590509552076052,0.8620873684474968,1.3168855001851663,0.5497214734183299,0.8366447085503467,1.3281092850990368,0.5296502531931776,0.8055633947118591,1.356941170802639,0.5037741403221013,0.757184927575819,1.3850206375397656,0.46230096498520296,0.6966386859863155,1.4420482584753544,0.4322884810626303,0.6346682126903995,1.478977196681067,0.39997182090220373,0.5693872833354433,1.5067468475746577,2015.7666666666667,12.0,78067599999.0,0.6076732470390502,1.330918439699459,0.573223952750411,0.8951458437450993,1.3644395997997663,0.5590509552076052,0.8597508485689129,1.3827297751944245,0.5497214734183299,0.836700136016814,1.3945147493539887,0.5296502531931776,0.8059623869531365,1.4247882293427712,0.5037741403221013,0.7647037115257947,1.454271669416754,0.46230096498520296,0.7010803040930953,1.5141506713991222,0.4322884810626303,0.6494077458899936,1.5529260565151204,0.39997182090220373,0.5778384801288922,1.5820841899533904,High,33626.915453437505,10.42308208043968
BIH,44.1096997852071,17.66093761183432,332.53548387096777,0.8029412866582,2.004481896732118,0.7792472621679173,0.9768350896925524,2.1651778806509974,0.7658310525788615,0.9631527454128098,2.253978325502951,0.7523186535016114,0.944832754459568,2.358639456886354,0.7290912386783801,0.912990096203538,2.496043094720962,0.6921289244887138,0.865749133872813,2.6970148876308335,0.6332193830955122,0.7924701997113439,2.9891471639461322,0.5515257750531448,0.6892312526722706,3.3425461097521447,0.472427540350187,0.5874918749856581,3.6576308972104288,2015.508875739645,12.0,13353099999.0,0.7849579914211791,2.113573894758269,0.7471857497891422,0.9794888889893416,2.33981472192229,0.7363982761132242,0.9673934798768775,2.395872115607948,0.7244582642159405,0.9493031647150287,2.4926722149741445,0.7042605502993945,0.918890542669863,2.602984809382727,0.6728954610909874,0.8761597725905348,2.802718078252642,0.6203816669318509,0.801625015710026,3.044439548552724,0.5402238272362883,0.6959777984473614,3.4177272207277305,0.4588615448379949,0.5871479462428641,3.712533535553484,Upper middle,12682.68789932209,9.447993184968555
BLR,53.694540516417916,28.400881925373135,221.94654088050314,0.19304867001231119,3.947890123343614,0.16159855196139966,0.9771404145244567,4.0548277400748605,0.1407725685825227,0.9549605352501817,4.143675565375245,0.12271949794236954,0.9296249324749536,4.201415533124944,0.1154487498933154,0.898527903326499,4.257298983588425,0.09883587915924337,0.8553406862214502,4.324590812878178,0.07332791075318094,0.788050390789957,4.4847613206378965,0.035908625127703146,0.7128311755329563,4.719732840842078,0.019352374438595627,0.6148773201142671,4.830429140334414,2015.4955223880597,12.0,28878833332.333332,0.25324860280856537,3.7192310214088797,0.21915051026148458,0.9768716264146223,3.8405198058191785,0.19813119847704075,0.9547709730417772,3.933627650426061,0.17993424718729312,0.9295368049480562,4.000865151286138,0.16945884425973223,0.8989686660130091,4.071287608730664,0.1537390741500035,0.8563952138370079,4.143463009815244,0.1235094428857536,0.7898492823997806,4.3155952685720775,0.08263489123646084,0.7122648741427003,4.549378820495651,0.05433409591423538,0.6163773797979826,4.693765085201404,Upper middle,18689.17077056147,9.835699531919136
BLZ,17.53352465,-88.28115225,264.8181818181818,0.8481521220547867,0.7769710169782038,0.8313672349716609,0.9332257501962388,0.821004542076886,0.8154404839145177,0.9061972732490219,0.8466213973955393,0.8000780031243969,0.8881739882727413,0.8708120021397958,0.7832403519444505,0.8626641475640813,0.9046794959837468,0.7555449658987143,0.8347988331900903,0.9562094609863804,0.7064039150726346,0.7855468941817277,1.034013162670665,0.6672015667381805,0.745520610850597,1.1161807810325348,0.6185049068622106,0.6850849040239627,1.1965672547286719,2015.3333333333333,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper middle,8907.484961944696,9.094647209232111
BMU,32.36666848888889,-64.69073888888889,300.2352941176471,0.7942492911418464,0.7711180348341591,0.7673083240321764,0.9437484123169042,0.8191580186613862,0.7582542929665986,0.9195739078903529,0.8317761345202659,0.7381215494712738,0.8898501007464776,0.8659610884497607,0.7110317808424997,0.849316314409079,0.9061058679007928,0.6588025276219033,0.7870294155253796,0.9832864495115249,0.5859943955091569,0.7111057284453507,1.0719386404911448,0.5129256714232222,0.6235531892035565,1.1546730946185053,0.4317086997422102,0.5130750683221927,1.2401812133249088,2015.2222222222222,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,80172.65033655021,11.291937717447157
BOL,-16.588920269916436,-64.30959457047354,282.8280802292264,0.7427723410771149,1.2881694097369933,0.6931493408277575,0.945041052990787,1.3984025148034536,0.680138695441063,0.9225928988146153,1.4205236124328848,0.6632586314917116,0.9069233089846496,1.4603421232554403,0.6512627463286575,0.8865084509832715,1.4926248243915061,0.6298425909392674,0.8607706695230819,1.5399080672611742,0.5937671264724568,0.8211318474784146,1.6030376115070202,0.5529132424721995,0.7699091030626306,1.692992633442142,0.4831542468183693,0.6909680541781786,1.8188111964191478,2015.5153203342618,12.0,85208753845.15384,0.742482031481595,1.306084862124262,0.6945350321884088,0.9454734523737831,1.4263378409156193,0.6833649452198299,0.9229094993957034,1.456418164390801,0.6635412405674926,0.9068429751718025,1.500869344567921,0.6482919721980303,0.8866192833997572,1.5419917240655174,0.6310662689891005,0.8599596550312935,1.5905165703282447,0.6028073344056288,0.820781338789298,1.6496936008523546,0.5653848957249831,0.7687328406714613,1.737197793155442,0.4901934557512045,0.6908443625507263,1.8635850926415023,Lower middle,7734.371354093481,8.953429486801111
BRA,-15.233991362695036,-48.234746575579194,286.3468208092485,0.7426666289747403,0.9449569320522804,0.6560449570878811,0.862855722402399,1.0873378881021207,0.6211385325890368,0.8062319585397824,1.146672117734105,0.596683342018018,0.7724338829767031,1.1918918292451437,0.5741385322772952,0.743878269102599,1.2385852310506424,0.5497931533258034,0.7137823370692462,1.289658745154745,0.5245079279944148,0.6795725319811884,1.3516625161701028,0.4868723166670747,0.6338336636432409,1.4318798832524138,0.43564931871248086,0.5743414492241508,1.5271530769176622,2016.8302600472814,12.0,83173547760.19403,0.7519757524178586,0.9070667070586163,0.6506295143509324,0.8523810517450803,1.0685065713024382,0.6149618535267484,0.7931272725645805,1.1281191558289625,0.5886996233170089,0.7563512590615825,1.174381068184524,0.5658686041828423,0.7274116366600561,1.2196814092085466,0.5401046087445489,0.6970348406069818,1.2749693094884176,0.5127766491851011,0.6612682388550465,1.341083934364411,0.47427310201681805,0.6149501543909197,1.4234273699070845,0.42399747997953496,0.5581215109121995,1.5170442002150004,Upper middle,14936.255944869928,9.611546821180115
