"country_name";"iso3";"Land area (sq. km)"
"Sub-Saharan Africa (IDA & IBRD countries)";"TSS";23890863.094
"Trinidad and Tobago";"TTO";5130
"Tunisia";"TUN";155360
"Turkiye";"TUR";769630
"Tuvalu";"TUV";30
"Tanzania";"TZA";885800
"Uganda";"UGA";200520
"Ukraine";"UKR";579400
"Upper middle income";"UMC";54854105.6
"Uruguay";"URY";175020
"United States";"USA";9147420
"Uzbekistan";"UZB";440650
"St. Vincent and the Grenadines";"VCT";390
"Venezuela, RB";"VEN";882050
"British Virgin Islands";"VGB";150
"Virgin Islands (U.S.)";"VIR";350
"Viet Nam";"VNM";313429
"Vanuatu";"VUT";12190
"World";"WLD";129939343.221
"Samoa";"WSM";2780
"Kosovo";"XKX";
"Yemen, Rep.";"YEM";527970
"South Africa";"ZAF";1213090
"Zambia";"ZMB";743390
"Zimbabwe";"ZWE";386850
